id,applied_date,approved_by_id,name,date_of_birth,blood_group,birth_registration_id,registration_id,present_address,permanent_address,guardian_name,guardian_email,guardian_phone,applied_for_grade
1,2020-12-13 06:00:01,7,Tori Muldoon,2007-12-25 06:00:01,B-,3.56237E+15,29-7295038,6932 Briar Crest Pass,245 Meadow Valley Circle,Gusta Binestead,gbinestead0@lycos.com,451 778 9800,4
2,2020-06-01 26:00:01,8,Henrietta Upjohn,2008-05-17 06:00:01,A-,30558282562173,69-5418147,3 Ryan Trail,5786 Chive Hill,Consalve Nystrom,,957 482 7194,5
3,2021-01-05 26:00:01,1,Luise Halesworth,2013-07-17 06:00:01,A+,3532321060347664,78-2998941,3 Esch Way,3 Clarendon Junction,Baldwin Landrick,,841 642 4827,2
4,2020-10-21 06:00:01,2,Aveline Gillbe,2005-06-28 06:00:01,A-,3558854868988171,10-0070708,357 Fair Oaks Terrace,382 Weeping Birch Trail,Eydie Prestland,,325 855 4375,6
5,2021-02-28 26:00:01,10,Rowney Shillam,2012-10-14 06:00:01,A-,3532653095714256,87-3617952,240 Alpine Drive,7487 Dwight Place,Brittaney Brayley,,237 902 0241,10
6,2020-05-21 16:00:01,9,Kevon Jachtym,2006-04-15 06:00:01,A+,4723362777965023,61-9746252,5917 Manitowish Lane,5933 Morning Circle,Murielle Dell Casa,,429 119 2753,4
7,2021-02-10 06:00:01,6,Aline Le Conte,2006-12-15 06:00:01,B+,3564791698494677,03-9547740,263 Cambridge Pass,2 Cardinal Center,Kalvin Cockrell,kcockrell6@cbc.ca,477 225 4078,6
8,2020-11-13 06:00:01,7,Pavel Halleybone,2006-04-23 06:00:01,A+,6759921788936026,31-5977634,9375 Fuller Trail,5 Everett Drive,Nikolai Croster,,698 748 7760,3
9,2020-12-03 06:00:01,8,Lanni Walthall,2006-05-05 06:00:01,B-,5.04E+17,65-8177511,6748 Thierer Alley,75420 Anthes Alley,Vivia Hazel,,370 263 1735,3
10,2020-07-12 06:00:01,3,Nina Van Halle,2008-08-24 06:00:01,AB-,3587912184567908,77-3289472,9867 Morrow Alley,5 Monterey Park,Gilbertina Arnau,,577 869 2236,6
11,2021-04-09 06:00:01,7,Guinna Greber,2006-09-14 06:00:01,O-,3582317586115212,86-1717757,116 Nobel Pass,2 Fairfield Way,Heddie Meadway,hmeadwaya@thetimes.co.uk,218 138 7158,3
12,2020-12-23 06:00:01,4,Ogden Yeskov,2008-07-31 06:00:01,AB+,201648307188782,10-6809724,0586 Waubesa Trail,18707 Almo Circle,Maurie Orman,mormanb@techcrunch.com,122 123 8944,8
13,2021-02-19 06:00:01,1,Biddie Ruddle,2011-07-12 06:00:01,A+,5100173335874619,26-1332976,892 Scofield Place,6208 Crescent Oaks Terrace,Carmela Malatalant,,760 366 3371,4
14,2021-04-18 06:00:01,7,Klarrisa Tammadge,2010-08-16 06:00:01,O-,6381687847601739,95-8016149,3204 Schmedeman Alley,437 Derek Parkway,Delly Scuse,,422 588 4321,6
15,2021-01-08 06:00:01,2,Emilia Poundford,2005-04-27 06:00:01,B-,201499041029613,74-5189159,5514 Manley Trail,12601 Dawn Drive,Gamaliel Isakson,,548 272 9622,3
16,2020-08-28 06:00:01,4,Letty Zannutti,2005-09-02 06:00:01,A+,6767327563346656,08-6077873,6 Rockefeller Alley,095 Walton Center,Gail Krink,,668 408 9708,2
17,2020-05-10 06:00:01,3,Lilllie Flavelle,2014-08-08 06:00:01,A+,6.37538E+15,43-3649253,7263 Fulton Place,24718 Farmco Circle,Myrle Trafford,mtraffordg@cpanel.net,683 714 0021,2
18,2021-01-23 06:00:01,5,Jud Deniskevich,2006-09-29 06:00:01,AB+,4017956045697659,70-4966997,912 Eliot Plaza,959 Bunker Hill Park,Zed Rubertelli,zrubertellih@google.fr,821 434 9172,1
19,2021-04-21 06:00:01,8,Florie Paternoster,2013-07-19 06:00:01,AB-,3563044540464873,81-2531641,699 Hallows Road,980 Nancy Hill,Benito Weson,,371 225 0956,3
20,2021-03-30 06:00:01,1,Johny Matuszak,2011-11-12 06:00:01,A+,5602257556659248,84-2071673,31411 Commercial Junction,9 Melrose Hill,Minnnie Quidenham,mquidenhamj@dailymail.co.uk,325 778 3933,8
